No. ,Titik Koordinat,Nama Unit,"ALAMAT  KANTOR",KELURAHAN,KECAMATAN,KOTA / KABUPATEN,KODE POS,PROVINSI,Area/Cluster,Kode Cabang,Column 1,Column 2,Column 3
65,"-6.237216,106.8445216",Jakarta Tebet Supomo 1,"Jl. Prof. Dr. Supomo, SH No. 43, Tebet",Tebet Barat,Tebet,Wil. Kota Jakarta Selatan,12180,DKI JAKARTA,JAKARTA MENARA CYBER 2,12404,,,
66,"-6.208301, 106.843753",Jakarta Pasar Rumput 1,Jl. Sultan Agung No. 59 D,Pasar Manggis,Setiabudi,Wil. Kota Jakarta Selatan,12970,DKI JAKARTA,JAKARTA MENARA CYBER 2,12411,,,
67,"-6.226122, 106.847828",Jakarta Saharjo 1,"Komplek Gajah Unit F & G, Jl. Dr. Saharjo No. 111",Tebet Barat,Tebet,Wil. Kota Jakarta Selatan,12810,DKI JAKARTA,JAKARTA MENARA CYBER 2,12408,,,
68,"-6.2246198,106.8543198",Jakarta Lapangan Ros 1,"Jl. KH Abdullah Syafie No. 14, Lapangan Ros, Tebet",Bukit Duri,Tebet,Wil. Kota Jakarta Selatan,12840,DKI JAKARTA,JAKARTA MENARA CYBER 2,12406,,,
69,"-6.2425456,106.8519167",Jakarta M.T. Haryono 1,Jl. Letjend. M.T. Haryono Kav. 17,Tebet Barat,Tebet,Wil. Kota Jakarta Selatan,12810,DKI JAKARTA,JAKARTA MENARA CYBER 2,12422,Revisi,V,
70,"-6.238399, 106.849825",Jakarta Tebet Barat 1,"Jl. Tebet Barat IX No.26, Tebet",Tebet Barat,Tebet,Wil. Kota Jakarta Selatan,12810,DKI JAKARTA,JAKARTA MENARA CYBER 2,12409,,,
71,"-6.257553, 106.854593",Jakarta Kalibata Rajawati 1,Gedung IPMI Jl. Rawajati Timur I/1,Rawajati,Pancoran,Wil. Kota Jakarta Selatan,12750,DKI JAKARTA,JAKARTA MENARA CYBER 2,12419,,,
72,"-6.278385, 106.845097",Jakarta Pasar Minggu 1,"Jl. Raya Pasar Minggu No. 89 J, Pejaten",Pejaten Barat,Pasar Minggu,Wil. Kota Jakarta Selatan,12510,DKI JAKARTA,JAKARTA MENARA CYBER 2,12418,,,
73,"-6.262664, 106.842929",Jakarta Kalibata 1,Jl. Raya Pasar Minggu Km. 17 No.8,Kalibata,Pancoran,Wil. Kota Jakarta Selatan,12740,DKI JAKARTA,JAKARTA MENARA CYBER 2,12417,Isi,V,
74,"-6.233729, 106.823390",Jakarta Gedung Patrajasa 1,"Gedung Patrajasa, Jl. Jend. Gatot Subroto Kav. 32-34",Kuningan Timur,Setia Budi,Wil. Kota Jakarta Selatan,12950,DKI JAKARTA,JAKARTA PLAZA MANDIRI,7010,,,
75,"-6.241782,106.841308,",Jakarta Gedung Bidakara 1,Jl. Jend. Gatot Subroto Kav. 71-73,Menteng Dalam,Tebet,Wil. Kota Jakarta Selatan,12870,DKI JAKARTA,JAKARTA PLAZA MANDIRI,7002,,,
